k-means,lwea,monti,monti_fixed,mv
[  5.00068028e-01   1.36499269e+03   1.62352703e-02   2.78488680e+00],[  2.81285564e-01   6.29126945e+02   8.32483736e-03   8.87283188e-01],[  6.16728627e-01   8.33529755e+02   4.03241083e-02   8.51094000e+00],[  4.88670605e-01   1.33947720e+03   1.37791851e-02   2.61079757e+00],[  6.29120808e-01   7.67337706e+02   2.05794571e-02   3.41624654e+00]
[  5.42605434e-01   2.16681075e+03   1.05926930e-02   1.70007005e+00],[  9.60160216e-02   8.57731758e+02   8.74451383e-03   5.11769977e-02],[  6.87496034e-01   1.51077982e+03   1.22599376e-02   3.55961641e+00],[  5.41398062e-01   2.16651411e+03   1.26672901e-02   1.71731817e+00],[  5.69193650e-01   1.72930519e+03   1.00587747e-02   4.38609082e-01]
[  6.02972762e-01   2.38698058e+03   2.00727949e-02   1.02633134e+00],[  3.41143484e-01   7.71341184e+02   1.53919445e-02   3.27293807e-01],[  4.54237959e-01   3.15849080e+02   2.45209031e-02   1.85361818e+01],[  6.02108648e-01   2.38747958e+03   2.43719145e-02   1.04407522e+00],[  6.74772836e-01   1.90161606e+03   2.65259378e-02   5.02739304e-01]
[  4.79530583e-01   1.54767997e+03   1.47610517e-02   1.95427056e+00],[  3.48140103e-01   8.22693799e+02   5.15363131e-03   2.23106305e-01],[  6.01287655e-01   7.92331017e+02   4.06484545e-02   7.87176937e+00],[  4.80638319e-01   1.54852944e+03   1.37162806e-02   1.96491731e+00],[  6.25032947e-01   1.43789609e+03   2.19000429e-02   7.50389847e-01]
[  5.77849683e-01   1.14774271e+03   2.47633625e-02   1.38399009e+00],[  2.40224347e-01   4.10615485e+02   6.15491650e-03   4.69244643e-01],[  4.59002432e-01   4.63394118e+02   2.98324893e-02   8.66263271e+00],[  5.77849683e-01   1.14774271e+03   2.47633625e-02   1.38399009e+00],[  5.47923678e-01   9.46673057e+02   1.89862195e-02   1.69973004e+00]
[  5.44601279e-01   1.29921705e+03   1.85567489e-02   1.81659222e+00],[  2.26511560e-01   4.62598214e+02   1.18308203e-02   5.77745396e-01],[  5.84143369e-01   5.92516106e+02   6.82647729e-02   2.00247177e+01],[  5.45620837e-01   1.29961959e+03   1.74389068e-02   1.77701539e+00],[  5.25170108e-01   8.94207679e+02   9.94296835e-03   2.41595558e+00]
[  4.67628699e-01   1.93165442e+03   1.42093961e-02   3.00895523e+00],[  2.64463167e-01   9.29487482e+02   1.21998342e-02   1.34862418e+00],[  6.39883369e-01   6.20735541e+02   8.62744770e-03   3.08164977e+01],[  4.66658872e-01   1.93023168e+03   1.45843220e-02   2.96684593e+00],[  6.55254480e-01   1.65802458e+03   1.40527436e-02   7.54100333e-01]
[  5.73973755e-01   1.45115399e+03   1.61028182e-02   1.74395741e+00],[  3.11558948e-01   5.47171031e+02   4.86635411e-03   6.34496440e-01],[  4.41044234e-01   4.43991770e+02   2.68010741e-02   1.25492277e+01],[  5.73957737e-01   1.45117613e+03   1.85432180e-02   1.74512400e+00],[  6.06667450e-01   1.11283506e+03   1.17943239e-02   1.35413728e+00]
[  4.31650623e-01   1.90208897e+03   1.25470262e-02   2.52508958e+00],[  4.02013138e-01   9.65997899e+02   7.41571178e-03   2.67421737e-01],[  6.47611365e-01   1.25262881e+03   4.81395179e-02   3.00592296e+00],[  4.29750309e-01   1.90179008e+03   2.04808431e-02   2.54075474e+00],[  6.11259282e-01   1.81146742e+03   3.77203850e-02   1.50168712e+00]
[  6.38710649e-01   2.26422777e+03   1.28329232e-02   5.98220555e-01],[  3.02644346e-01   5.47625508e+02   3.53497283e-04   1.69735523e-01],[  4.45412154e-01   3.50618677e+02   9.19387042e-03   1.66084187e+01],[  6.38710649e-01   2.26422777e+03   1.28329232e-02   5.98220555e-01],[  6.44691264e-01   1.71195558e+03   1.38520740e-02   6.31162721e-01]
[  5.53289267e-01   1.81579840e+03   1.40837801e-02   1.74175206e+00],[  1.98085209e-01   4.76693144e+02   1.94601791e-02   2.92412391e-01],[  5.34609266e-01   6.96528292e+02   3.58976851e-02   8.64715545e+00],[  5.53207270e-01   1.81567635e+03   1.62823062e-02   1.74137629e+00],[  5.80834213e-01   1.30976555e+03   1.72844281e-02   8.24341693e-01]
[  5.39008455e-01   1.74149709e+03   1.38971341e-02   1.44829882e+00],[  2.29196155e-01   5.77478365e+02   2.36425226e-03   1.19934702e-01],[  4.88648135e-01   4.47937147e+02   1.97089801e-02   9.61240722e+00],[  5.38816013e-01   1.74123288e+03   1.22627903e-02   1.47812453e+00],[  5.37128482e-01   1.05315914e+03   7.71179889e-03   1.15933545e+00]
[  5.56535236e-01   2.43686928e+03   1.03673793e-02   1.11245431e+00],[  4.18752276e-01   7.92404163e+02   2.98781255e-03   4.36084182e-02],[  5.41417117e-01   6.05609133e+02   3.29492567e-02   1.31250846e+01],[  5.56535236e-01   2.43686928e+03   1.03673793e-02   1.11245431e+00],[  6.75821746e-01   1.70021359e+03   2.11857104e-02   4.48556629e-01]
[  5.08906291e-01   1.40965967e+03   1.75057160e-02   2.03770107e+00],[  1.71568642e-01   3.41192001e+02   1.08291426e-02   2.47471059e+00],[  4.87359644e-01   4.94173070e+02   1.98126816e-02   1.20377776e+01],[  5.09115323e-01   1.40977352e+03   1.76430751e-02   2.04562059e+00],[  5.72962223e-01   1.00292840e+03   2.10056222e-02   1.72995120e+00]
[  5.79493161e-01   1.86459299e+03   1.69438708e-02   1.42979173e+00],[  3.39474469e-01   4.56224224e+02   7.61299351e-03   1.12091223e+00],[  4.34780124e-01   4.09078394e+02   1.61156597e-02   1.18331140e+01],[  5.79407436e-01   1.86454725e+03   1.69438708e-02   1.43128949e+00],[  6.07467518e-01   1.29369305e+03   1.07132729e-02   1.06089310e+00]
[  5.51853815e-01   1.97168964e+03   5.82048857e-03   1.63074621e+00],[  2.46637053e-01   5.95111617e+02   2.35965846e-02   1.25212427e-01],[  5.35190770e-01   6.80775139e+02   2.11659681e-02   7.98316747e+00],[  5.51021271e-01   1.97229424e+03   5.79718108e-03   1.64490581e+00],[  6.09188239e-01   1.22206018e+03   1.57139627e-02   1.10189666e+00]
